Alabama,1165,593,572
Alaska,1080,547,553
Arizona,1116,563,553
Arkansas,1208,614,594
California,1055,531,524
Colorado,1201,606,595
Connecticut,1041,530,512
Delaware,996,503,492
District of Columbia,950,482,468
Florida,1017,520,497
Georgia,1050,535,515
Hawaii,1085,544,541
Idaho,1005,513,493
Illinois,1115,559,556
Indiana,1074,542,532
Iowa,1275,641,635
Kansas,1260,632,628
Kentucky,1247,631,616
Louisiana,1198,611,586
Maine,1012,513,499
Maryland,1060,536,524
Massachusetts,1107,555,551
Michigan,1005,509,495
Minnesota,1295,644,651
Mississippi,1242,634,607
Missouri,1271,640,631
Montana,1196,605,591
Nebraska,1253,629,625
Nevada,1116,563,553
New Hampshire,1052,532,520
New Jersey,1056,530,526
New Mexico,1138,557,561
New York,1052,528,523
North Carolina,1081,546,535
North Dakota,1256,635,621
Ohio,1149,578,570
Oklahoma,1047,530,517
Oregon,1108,560,548
Pennsylvania,1071,540,531
Puerto Rico,1003,515,487
Rhode Island,1062,539,524
South Carolina,1064,543,521
South Dakota,1216,612,603
Tennessee,1228,623,604
Texas,1020,513,507
Utah,1238,624,614
Vermont,1114,562,551
Virginia,1102,561,541
Virgin Islands,924,483,476
Washington,1075,541,534
West Virginia,1086,558,528
Wisconsin,1291,642,649
Wyoming,1230,626,604
